category,impact,description,priority
waste_management,medium,Potholes issue in Horamavu area,0.51
electricity,medium,Street Light Not Working issue in Nagavara area,0.65
waste_management,medium,Sweeping not done reported in Sudam Nagar,0.46
electricity,high,Street Light Not Working problem in Banaswadi ward,0.74
electricity,high,Street Light Not Working issue in Hoodi area,0.72
waste_management,low,Issue with Animal Rescue - Not well - Requires attention in Ullalu,0.36
waste_management,medium,Complaint regarding Road Infrastructure at Visvesvarapuram,0.47
waste_management,medium,Issue with obstructions Branches / Trees. in Giri Nagar,0.50
waste_management,medium,Complaint regarding Road Infrastructure at Govindraja Nagara,0.40
waste_management,low,Issue with Garbage vehicle not arrived in Horamavu,0.39
waste_management,medium,Garbage dump problem in Pulikeshi Nagar ward,0.46
electricity,high,Street Light Not Working reported in Banaswadi,0.84
waste_management,medium,Issue with Garbage dump in Jeevanbhima Nagar,0.51
waste_management,low,Complaint regarding Fatally injured - Needs immediate attention at Ramamurthy Nagar,0.35
waste_management,low,Animal Rescue - Not well - Requires attention reported in K.R.Puram,0.37
waste_management,medium,Issue with Complaint against SW collector/ SWM official for violation of SWM Rules in HBR Layout,0.41
waste_management,medium,Issue with Garbage dump in Someshwara,0.65
waste_management,low,Issue with Garbage vehicle not arrived in Hongasandra,0.36
waste_management,medium,Complaint regarding Maintenance of SWD at Koramangala,0.53
waste_management,medium,Complaint regarding Animal Rescue - Not well - Requires attention at Jayachamarajendra Nagar,0.54
waste_management,medium,Animal Rescue - Not well - Requires attention reported in K.R.Puram,0.42
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Vignana Nagar,0.45
waste_management,medium,Garbage dump problem in Benniganahalli ward,0.54
waste_management,medium,Potholes issue in Singasandra area,0.47
waste_management,medium,Potholes reported in Arakere,0.53
waste_management,medium,Potholes problem in Konanakunte ward,0.54
waste_management,low,Garbage vehicle not arrived issue in Hoodi area,0.37
electricity,medium,Street Lights Switched On During Day Time reported in Ganga Nagar,0.57
waste_management,medium,Garbage dump reported in Sarakki,0.51
waste_management,medium,Issue with Potholes in Singasandra,0.45
waste_management,medium,Garbage vehicle not arrived reported in Jayangar,0.41
waste_management,medium,Complaint regarding Garbage dump at Sarakki,0.54
waste_management,low,Issue with Stray dog related complaints in Hoodi,0.36
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Subedarapalya,0.41
waste_management,low,Garbage vehicle not arrived reported in Pattabhiram Nagar,0.39
waste_management,medium,Issue with Garbage vehicle not arrived in Kuvempu Nagar,0.43
waste_management,medium,Issue with Garbage dump in Newthippasandra,0.50
waste_management,medium,Garbage dump reported in Manorayanapalya,0.47
electricity,high,Issue with Street Light Not Working in Kempapura Agrahara,0.72
waste_management,medium,Garbage dump issue in Pulikeshi Nagar area,0.53
waste_management,medium,Complaint regarding Sweeping not done at Gurappanapalya,0.42
waste_management,medium,Issue with Complaint against SW collector/ SWM official for violation of SWM Rules in Marathalli,0.41
waste_management,medium,Complaint regarding Garbage dump at Basavanapura,0.48
electricity,medium,Issue with Street Light Not Working in Singasandra,0.66
waste_management,medium,Complaint regarding UnAuthorised Constructions at Doddanekkundi,0.51
waste_management,medium,Issue with Removal of dead/fallen trees in Arakere,0.40
waste_management,medium,Garbage dump problem in Devasandra ward,0.54
waste_management,medium,Issue with Increase in mosquito density in Laggere,0.41
waste_management,medium,Garbage dump issue in Benniganahalli area,0.53
waste_management,medium,Complaint regarding Road Infrastructure at Hemmigepura,0.50
waste_management,low,Garbage vehicle not arrived reported in Bapuji Nagar,0.36
waste_management,medium,Issue with Garbage dump in Garudacharpalya,0.46
electricity,high,Street Light Not Working reported in Marathalli,0.80
electricity,medium,Street Light Not Working issue in Shankaramata area,0.66
waste_management,low,Stray/Rabid dog bite reported in Dodda Bidarkallu,0.38
electricity,high,Street Light Not Working reported in Yelachenahalli,0.71
waste_management,medium,Complaint regarding Garbage dump at Kadugodi,0.54
electricity,medium,Complaint regarding Street Light Not Working at Domlur,0.70
electricity,high,Street Light Not Working problem in Arakere ward,0.71
electricity,medium,Street Light Not Working issue in Hemmigepura area,0.70
electricity,high,Street Light Not Working reported in Cottonpet,0.73
electricity,high,Street Light Not Working reported in Hoysala Nagar,0.73
waste_management,medium,Complaint regarding Others at Konanakunte,0.50
electricity,medium,Street Light Not Working reported in Ramamurthy Nagar,0.67
electricity,medium,Street Light Not Working reported in Giri Nagar,0.65
electricity,medium,Issue with Street Light Not Working in Uttarahalli,0.68
electricity,high,Street Light Not Working problem in Kottigepalya ward,0.71
waste_management,medium,Garbage dump problem in Jayangar ward,0.48
waste_management,medium,Complaint regarding Footpath at HSR Layout,0.50
electricity,high,Street Light Not Working issue in Bagalagunte area,0.74
electricity,high,Complaint regarding Street Light Not Working at Hongasandra,0.74
electricity,medium,Street Light Not Working reported in J.P.Nagar,0.67
electricity,medium,Street Light Not Working issue in Rajagopala Nagar area,0.67
electricity,high,Street Light Not Working reported in Shankaramata,0.72
electricity,high,Complaint regarding Street Light Not Working at Ullalu,0.73
waste_management,medium,Spraying problem in Ramamurthy Nagar ward,0.41
waste_management,medium,Issue with Road Infrastructure in Hemmigepura,0.46
electricity,high,Street Light Not Working issue in Maruthi Seva Nagar area,0.71
waste_management,medium,Stray dog related complaints problem in Thanisandra ward,0.41
electricity,medium,Issue with Street Light Not Working in Uttarahalli,0.66
electricity,medium,Complaint regarding Street Light Not Working at Attiguppe,0.67
electricity,high,Issue with Street Light Not Working in Sunkenahalli,0.71
electricity,medium,Street Light Not Working problem in Dodda Bidarkallu ward,0.66
electricity,medium,Street Light Not Working reported in Begur,0.69
waste_management,medium,Complaint against SW collector/ SWM official for violation of SWM Rules problem in H.M.T ward,0.41
waste_management,medium,obstructions Branches / Trees. issue in Kengeri area,0.48
waste_management,medium,Garbage vehicle not arrived problem in C.V.Raman Nagar ward,0.41
waste_management,medium,Issue with Stray dog related complaints in Agaram,0.47
waste_management,medium,Garbage dump reported in Vannarpet,0.46
electricity,medium,Complaint regarding Street Light Not Working at Sanjay Nagar,0.67
electricity,high,Issue with Street Light Not Working in Begur,0.72
electricity,high,Complaint regarding Street Light Not Working at Bommanahalli,0.75
waste_management,medium,Issue with Garbage dump in Pulikeshi Nagar,0.49
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Yelachenahalli,0.43
parks_recreation,medium,Issues Related to Parks/Medians/Circles/Island. problem in Arakere ward,0.53
waste_management,medium,Potholes problem in Arakere ward,0.53
waste_management,medium,Garbage dump issue in Hoysala Nagar area,0.52
waste_management,medium,Garbage dump problem in Dr.Rajkumar Ward ward,0.50
electricity,high,Complaint regarding Street Light Not Working at Kammanahalli,0.71
waste_management,low,Complaint regarding obstructions Branches / Trees. at Shanthala Nagar,0.38
waste_management,medium,Garbage In Market Premises issue in Sampangiram Nagar area,0.46
waste_management,low,Dengue positive problem in Varthur ward,0.36
electricity,high,Issue with Street Light Not Working in Radhakrishna Temple,0.73
waste_management,medium,Anti Rabies Vaccination of stray dogs issue in Kadugodi area,0.45
waste_management,low,Removal of dead/fallen trees problem in Pattabhiram Nagar ward,0.39
waste_management,medium,water stagnation problem in Jakkur ward,0.50
waste_management,medium,Issue with Potholes in Shanthala Nagar,0.54
parks_recreation,medium,Issues Related to Parks/Medians/Circles/Island. issue in Hagadooru area,0.51
waste_management,medium,Road cutting problem in Sudduguntepalya ward,0.44
waste_management,medium,Issue with Garbage dump in Thanisandra,0.51
waste_management,low,Dengue positive problem in Basavanapura ward,0.36
electricity,medium,Issue with Street Light Not Working in Jakkur,0.68
waste_management,low,Issue with ekhata approval pending with ARO in Hagadooru,0.38
waste_management,medium,Animal Rescue - Not well - Requires attention issue in Radhakrishna Temple area,0.50
electricity,high,Street Light Not Working problem in Dodda Bidarkallu ward,0.73
waste_management,medium,Potholes issue in A.Narayanapura area,0.54
electricity,medium,Complaint regarding Street Light Not Working at Horamavu,0.66
waste_management,medium,Garbage dump problem in Sarakki ward,0.55
waste_management,medium,Complaint regarding Sewerage water left in SWD at Pulikeshi Nagar,0.50
waste_management,medium,Garbage dump issue in Jogupalya area,0.51
waste_management,medium,Issue with Garbage dump in Azad Nagar,0.50
waste_management,medium,Issue with Garbage vehicle not arrived in Hemmigepura,0.52
waste_management,medium,water leakage on road problem in Bellandur ward,0.60
electricity,medium,Street Light Not Working issue in Sarakki area,0.69
waste_management,medium,Anti Rabies Vaccination of stray dogs reported in Bellandur,0.40
waste_management,medium,Garbage dump issue in Bilekahalli area,0.54
waste_management,medium,Garbage dump reported in Pattabhiram Nagar,0.54
electricity,medium,Street Light Not Working problem in Subhash Nagar ward,0.67
parks_recreation,medium,Issues Related to Parks/Medians/Circles/Island. problem in Ganga Nagar ward,0.49
traffic,medium,TEC issue in Jayanagar East area,0.47
waste_management,low,Garbage vehicle not arrived issue in Thanisandra area,0.38
waste_management,medium,Issue with Garbage dump in Kadugondanahalli,0.48
waste_management,medium,Garbage dump problem in Arakere ward,0.55
waste_management,low,Complaint regarding Other Khata / ekhata issues at Kavalbyrasandra,0.36
waste_management,medium,Issue with Garbage dump in Kumaraswamy Layout,0.47
waste_management,medium,Garbage dump problem in Vasanthapura ward,0.48
waste_management,medium,Garbage dumping in vacant sites issue in Padmanabha Nagar area,0.47
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Gurappanapalya,0.43
waste_management,medium,Issue with water stagnation in Horamavu,0.48
waste_management,low,Removal of dead/fallen trees reported in Shanthala Nagar,0.40
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Thanisandra,0.50
electricity,high,Street Light Not Working problem in Jnanabharathi Ward ward,0.74
waste_management,medium,Complaint regarding Garbage dump at Bapuji Nagar,0.46
electricity,medium,Street Light Not Working problem in Vidyapeetha ward,0.65
electricity,medium,Street Light Not Working problem in Banaswadi ward,0.69
electricity,high,Street Light Not Working reported in Jnanabharathi Ward,0.75
waste_management,low,obstructions Branches / Trees. problem in HSR Layout ward,0.40
waste_management,medium,Garbage dump problem in Byatarayanapura ward,0.47
waste_management,low,Air/Noise pollution reported in Jakkur,0.37
electricity,high,Complaint regarding Street Light Not Working at Bommanahalli,0.84
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Kamakshipalya,0.53
waste_management,medium,Potholes problem in Varthur ward,0.53
waste_management,medium,Garbage dumping in vacant sites reported in Dharmarayaswamy Temple Ward,0.48
waste_management,medium,Issue with Garbage dump in Hemmigepura,0.51
waste_management,medium,Garbage dump issue in Vasanth Nagar area,0.48
waste_management,low,Garbage vehicle not arrived issue in Bellandur area,0.36
waste_management,medium,Issue with Garbage dump in Kodigehalli,0.52
